date,lat,lon,smajax,sminax,strike,q,depth,unc,q,mw,unc,q,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,eventid
1918-07-2916:50:21.05,-3.111,143.910,20.1,13.6,67.7,B,15.0,25.0,C,6.62,0.39,C,p,,,,,,,,,,913212
1918-08-0809:48:05.39,-4.978,152.344,20.5,13.0,110.3,B,35.0,15.6,C,6.52,0.20,C,p,,,,,,,,,,913219
1918-08-1512:18:21.68,5.967,124.377,17.7,9.1,63.2,B,20.0,26.4,C,8.30,0.40,C,d,3.00,21,bibliog,,,,,,,913230
1918-08-1515:26:20.92,5.213,124.261,25.0,14.1,84.9,C,35.0,25.0,C,6.44,0.20,C,p,,,,,,,,,,913231
1918-08-1517:30:11.18,5.226,125.750,13.7,10.4,94.6,C,15.0,23.1,C,6.91,0.49,C,p,,,,,,,,,,913232
1918-08-1603:25:41.47,5.289,124.660,19.9,9.3,67.8,B,35.0,25.0,C,6.10,0.38,C,p,,,,,,,,,,913233
1918-08-2306:36:44.04,-10.789,164.919,17.0,10.6,102.6,B,15.0,8.6,C,6.50,0.44,C,p,,,,,,,,,,913246
1918-09-0717:16:23.16,46.737,150.653,10.7,6.2,146.3,B,15.0,13.5,C,8.10,0.30,B,d,1.59,21,bibliog,,,,,,,913260
1918-09-2209:55:00.13,-1.457,100.090,14.5,12.6,35.1,C,35.0,6.5,C,6.51,0.20,C,p,,,,,,,,,,913286
1918-09-2912:07:14.31,35.077,35.608,13.9,8.7,36.9,B,15.0,25.0,C,6.61,0.65,C,p,,,,,,,,,,913295
1918-10-1114:14:42.42,18.802,-67.219,9.1,8.3,28.3,B,15.0,5.7,C,7.10,0.30,B,d,6.40,19,bibliog,,,,,,,913306
1918-10-1412:00:14.66,-20.650,-174.110,17.6,13.9,143.0,B,30.0,10.9,C,6.35,0.24,C,p,,,,,,,,,,913314
1918-10-1903:23:04.51,13.880,-90.023,18.8,14.2,50.0,C,35.0,25.0,C,6.56,0.41,C,p,,,,,,,,,,913321
1918-10-2717:06:40.81,-1.402,149.683,27.5,11.1,75.9,C,15.0,8.2,C,7.24,0.33,C,p,,,,,,,,,,913330
1918-11-0804:38:09.77,44.893,151.896,10.3,7.3,133.1,A,15.0,7.1,C,7.79,0.41,C,p,,,,,,,,,,913336
1918-11-2322:57:42.74,-6.807,129.148,20.1,13.5,53.9,C,15.0,32.6,C,6.92,0.23,B,p,,,,,,,,,,913349
1918-12-0102:35:21.14,38.428,72.797,18.4,7.7,47.0,B,20.0,13.1,C,6.48,0.20,B,p,,,,,,,,,,913358
1918-12-0209:47:34.46,11.391,-43.549,14.3,10.0,132.6,B,10.0,25.0,C,7.14,0.48,C,p,,,,,,,,,,913359
1918-12-0411:47:50.43,-26.538,-70.608,20.6,9.5,95.1,C,40.0,19.5,C,7.83,0.37,C,p,,,,,,,,,,913362
1918-12-0608:41:07.65,49.822,-126.695,8.2,7.4,70.5,A,15.0,25.0,C,6.84,0.41,C,p,,,,,,,,,,913365
1919-01-0101:33:49.87,6.819,126.530,12.3,8.5,59.8,A,35.0,32.9,C,6.94,0.42,C,p,,,,,,,,,,912699
1919-01-0103:00:34.63,-19.307,-178.106,27.1,18.4,142.9,C,485.0,25.0,C,7.80,0.40,C,d,6.00,20,bibliog,,,,,,,912700
1919-01-1805:52:24.87,-4.577,101.467,34.0,12.0,33.8,C,35.0,4.2,C,6.30,0.43,C,p,,,,,,,,,,912712
1919-03-0203:26:35.57,-43.800,-78.319,30.9,13.7,120.0,C,15.0,25.0,C,7.24,0.20,B,p,,,,,,,,,,912734
1919-03-0211:45:15.15,-43.109,-71.695,40.2,15.7,98.1,B,15.0,25.0,C,7.25,0.41,C,p,,,,,,,,,,912735
1919-03-0903:16:58.86,-41.421,-74.368,38.9,25.4,110.8,C,15.0,25.0,C,6.84,0.54,C,p,,,,,,,,,,912740
1919-04-0200:34:59.58,-5.496,104.487,17.2,11.3,49.2,B,20.0,28.9,C,6.40,0.20,C,p,,,,,,,,,,912756
1919-04-1711:22:09.94,-30.418,-178.110,19.5,11.1,145.7,C,35.0,13.5,C,7.15,0.20,B,p,,,,,,,,,,912761
1919-04-1720:53:09.19,14.229,-91.715,13.0,8.5,45.3,B,35.0,18.8,C,6.82,0.20,B,p,,,,,,,,,,912762
1919-04-2111:26:12.63,8.917,-40.491,15.6,10.5,146.0,C,10.0,12.3,C,6.64,0.25,B,p,,,,,,,,,,912766
1919-04-2700:22:00.06,12.353,120.410,17.9,9.2,110.8,B,15.0,13.7,C,6.56,0.20,B,p,,,,,,,,,,912770
1919-04-3007:17:17.28,-18.352,-172.515,16.2,9.8,139.7,B,25.0,14.5,C,8.10,0.30,B,d,1.80,21,bibliog,,,,,,,912773
1919-05-0202:07:31.00,-17.307,-173.647,53.5,19.2,141.7,C,25.0,11.6,C,6.44,0.20,C,p,,,,,,,,,,912776
1919-05-0619:41:14.25,-4.852,153.714,20.9,16.2,96.3,C,35.0,22.1,C,7.75,0.64,C,p,,,,,,,,,,912783
1919-05-0705:13:54.65,-5.669,153.594,27.1,15.6,94.6,B,35.0,13.7,C,6.38,0.20,C,p,,,,,,,,,,912784
1919-05-2306:10:48.06,29.884,71.363,52.1,9.4,8.2,C,35.0,25.0,C,6.52,0.26,C,p,,,,,,,,,,912797
1919-06-2923:14:13.44,12.330,-88.291,15.3,12.0,71.7,C,20.0,20.5,C,6.61,0.24,C,p,,,,,,,,,,912823
1919-07-0821:06:14.75,-8.174,31.566,20.9,12.8,58.4,C,15.0,25.0,C,7.22,0.20,B,p,,,,,,,,,,912837
