Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Carleton Av S / S Bailey St,Motor Vehicle Accident,11/13/2014 09:21:00 PM +0000,47.547357,-122.320152,"(47.547357, -122.320152)",F140124284
Lake City Way Ne / Ne 120th St,Motor Vehicle Accident,11/13/2014 10:06:00 PM +0000,47.715614,-122.297401,"(47.715614, -122.297401)",F140124307
N 103rd St / Greenwood Av N,Motor Vehicle Accident,11/14/2014 12:13:00 AM +0000,47.703635,-122.355438,"(47.703635, -122.355438)",F140124354
9th Av Nw / Nw 59th St,Motor Vehicle Accident,11/14/2014 12:41:00 AM +0000,47.671623,-122.368597,"(47.671623, -122.368597)",F140124366
Eastern Av N / N Northlake Way,Motor Vehicle Accident,11/14/2014 06:26:00 AM +0000,47.651983,-122.329098,"(47.651983, -122.329098)",F140124479
Eb Wsea Frwy To Nb I5,Motor Vehicle Accident Freeway,11/14/2014 03:29:00 PM +0000,47.571286,-122.322927,"(47.571286, -122.322927)",F140124572
Nb Sr99 At Western,Motor Vehicle Accident Freeway,11/14/2014 05:23:00 PM +0000,47.6109,-122.345539,"(47.6109, -122.345539)",F140124605
S Charles St / Golf Dr S,Motor Vehicle Accident,11/15/2014 01:11:00 AM +0000,47.594282,-122.316577,"(47.594282, -122.316577)",F140124759
N 105th St / Aurora Av N,Motor Vehicle Accident,11/15/2014 09:20:00 PM +0000,47.705051,-122.344694,"(47.705051, -122.344694)",F140125087
5th Av Ne / Ne Northgate Way,Motor Vehicle Accident,11/13/2014 11:07:00 PM +0000,47.708594,-122.323275,"(47.708594, -122.323275)",F140124333
15th Av Nw / Nw 80th St,Motor Vehicle Accident,11/13/2014 09:54:00 PM +0000,47.686878,-122.376793,"(47.686878, -122.376793)",F140124302
Sb I5 At I90,Motor Vehicle Accident Freeway,11/13/2014 10:42:00 PM +0000,47.601669,-122.324897,"(47.601669, -122.324897)",F140124321
Sb I5 At 95,Motor Vehicle Accident Freeway,11/16/2014 01:04:00 AM +0000,47.694435,-122.329495,"(47.694435, -122.329495)",F140125151
Sb I5 At Michigan,Motor Vehicle Accident,11/13/2014 10:58:00 PM +0000,47.559045,-122.321742,"(47.559045, -122.321742)",F140124327
820 4th Av,Motor Vehicle Accident,11/15/2014 02:08:00 AM +0000,47.6048,-122.331731,"(47.6048, -122.331731)",F140124781
Sb I5 At 145,Motor Vehicle Accident Freeway,11/14/2014 04:28:00 PM +0000,47.734066,-122.325108,"(47.734066, -122.325108)",B140124586
15th Av Ne / Lake City Way Ne,Motor Vehicle Accident,11/15/2014 10:10:00 AM +0000,47.687516,-122.312173,"(47.687516, -122.312173)",F140124934
Fremont Av N / N 50th St,Motor Vehicle Accident,11/15/2014 04:24:00 AM +0000,47.665,-122.350003,"(47.665, -122.350003)",F140124813
1248 Pine St,Motor Vehicle Accident,11/16/2014 09:51:00 AM +0000,47.615076,-122.328323,"(47.615076, -122.328323)",F140125291
1704 S Jackson St,Motor Vehicle Accident,11/16/2014 12:24:00 PM +0000,47.599232,-122.310219,"(47.599232, -122.310219)",F140125330
Rainier Av S / S Henderson St,Motor Vehicle Accident,11/16/2014 03:44:00 AM +0000,47.523307,-122.269986,"(47.523307, -122.269986)",F140125196
4th Av S / S Lander St,Motor Vehicle Accident,11/15/2014 12:25:00 AM +0000,47.579809,-122.329057,"(47.579809, -122.329057)",F140124736
W Republican St / 2nd Av W,Motor Vehicle Accident,11/17/2014 10:46:00 PM +0000,47.623286,-122.359332,"(47.623286, -122.359332)",F140125790
Eb Wsea Frwy At Admiral,Motor Vehicle Accident Freeway,11/15/2014 06:01:00 AM +0000,47.571483,-122.369328,"(47.571483, -122.369328)",F140124843
19th Av Ne / Ne 145th St,Motor Vehicle Accident,11/15/2014 09:04:00 PM +0000,47.733906,-122.308695,"(47.733906, -122.308695)",F140125082
500 Nw Market St,Motor Vehicle Accident,11/15/2014 10:00:00 PM +0000,47.66865,-122.363086,"(47.66865, -122.363086)",F140125106
M L King Jr Way S / S Hill St,Motor Vehicle Accident,11/15/2014 08:46:00 PM +0000,47.584493,-122.298138,"(47.584493, -122.298138)",F140125079
Nw 75th St / Alonzo Av Nw,Motor Vehicle Accident,11/16/2014 08:01:00 AM +0000,47.683244,-122.37467,"(47.683244, -122.37467)",F140125266
11750 Beacon Av S,Motor Vehicle Accident,11/15/2014 11:45:00 PM +0000,47.497291,-122.261913,"(47.497291, -122.261913)",F140125131
9th Av Nw / Holman Rd Nw,Motor Vehicle Accident,11/16/2014 12:07:00 AM +0000,47.698349,-122.368723,"(47.698349, -122.368723)",F140125135
2ND AV / CEDAR ST,Motor Vehicle Accident,11/18/2014 05:00:00 PM +0000,47.616467,-122.349757,"(47.616467, -122.349757)",F140126023
835 S Henderson St,Motor Vehicle Accident,11/19/2014 12:49:00 AM +0000,47.523064,-122.321477,"(47.523064, -122.321477)",F140126195
Holman Rd Nw / 9th Av Nw,Motor Vehicle Accident,11/16/2014 12:07:00 AM +0000,47.698349,-122.368723,"(47.698349, -122.368723)",F140125136
Renton Av S / S Henderson St,Motor Vehicle Accident,11/17/2014 10:43:00 PM +0000,47.523312,-122.276403,"(47.523312, -122.276403)",F140125788
Terry Av / James St,Motor Vehicle Accident,11/17/2014 03:12:00 PM +0000,47.606018,-122.323641,"(47.606018, -122.323641)",F140125666
1st Av / Broad St,Motor Vehicle Accident,11/20/2014 01:57:00 PM +0000,47.616918,-122.352507,"(47.616918, -122.352507)",F140126865
2809 Thorndyke Av W,Motor Vehicle Accident,11/16/2014 10:22:00 PM +0000,47.644927,-122.383118,"(47.644927, -122.383118)",F140125450
30th Av / E Cherry St,Motor Vehicle Accident,11/17/2014 07:19:00 PM +0000,47.607992,-122.293632,"(47.607992, -122.293632)",F140125728
N 127th St / Aurora Av N,Motor Vehicle Accident,11/21/2014 01:29:00 AM +0000,47.721392,-122.344957,"(47.721392, -122.344957)",F140127047
13th Av / E Pike St,Motor Vehicle Accident,11/18/2014 09:49:00 AM +0000,47.614113,-122.31553,"(47.614113, -122.31553)",F140125937
14th Av S / East Marginal Way S,Motor Vehicle Accident,11/21/2014 12:42:00 AM +0000,47.535261,-122.314829,"(47.535261, -122.314829)",F140127036
2nd Av Sw / 1st Av S,Motor Vehicle Accident,11/21/2014 12:49:00 AM +0000,47.534271,-122.336702,"(47.534271, -122.336702)",F140127039
Nb I5 At Spokane,Motor Vehicle Accident Freeway,11/18/2014 01:32:00 AM +0000,47.552107,-122.316869,"(47.552107, -122.316869)",F140125831
7306 20th Av Ne,Motor Vehicle Accident,11/18/2014 11:37:00 AM +0000,47.681291,-122.306648,"(47.681291, -122.306648)",F140125952
61st Av Sw / Sw Admiral Way,Motor Vehicle Accident,11/18/2014 06:55:00 PM +0000,47.575906,-122.410739,"(47.575906, -122.410739)",F140126068
E Yesler Way / Boren Av,Motor Vehicle Accident,11/18/2014 06:10:00 PM +0000,47.601695,-122.317823,"(47.601695, -122.317823)",F140126046
4th Av S / S Michigan St,Motor Vehicle Accident,11/19/2014 01:55:00 AM +0000,47.545337,-122.329588,"(47.545337, -122.329588)",F140126218
Rainier Av S / S Massachusetts St,Motor Vehicle Accident,11/20/2014 03:44:00 PM +0000,47.588411,-122.305827,"(47.588411, -122.305827)",F140126887
15th Av W / W Howe St,Motor Vehicle Accident,11/19/2014 04:20:00 PM +0000,47.635953,-122.376138,"(47.635953, -122.376138)",F140126413
24th Av E / Boyer Av E,Motor Vehicle Accident,11/20/2014 03:52:00 AM +0000,47.635244,-122.301565,"(47.635244, -122.301565)",F140126757
16th Av Sw / Sw Barton St,Motor Vehicle Accident,11/21/2014 05:23:00 PM +0000,47.521033,-122.355125,"(47.521033, -122.355125)",F140127234
Nw 57th St / 14th Av Nw,Motor Vehicle Accident,11/21/2014 05:34:00 PM +0000,47.67017,-122.373585,"(47.67017, -122.373585)",F140127243
17th Av Ne / Ne 145th St,Motor Vehicle Accident,11/22/2014 12:39:00 AM +0000,47.733921,-122.310047,"(47.733921, -122.310047)",F140127384
10020 M L King Jr Way S,Motor Vehicle Accident,11/22/2014 01:35:00 AM +0000,47.51096,-122.278397,"(47.51096, -122.278397)",F140127417
Yale Av N / John St,Motor Vehicle Accident,11/21/2014 10:59:00 PM +0000,47.619668,-122.330417,"(47.619668, -122.330417)",F140127356
23rd Av / E Yesler Way,Motor Vehicle Accident,11/21/2014 06:17:00 PM +0000,47.601667,-122.302339,"(47.601667, -122.302339)",F140127257
6th Av / Wall St,Motor Vehicle Accident,11/21/2014 03:36:00 PM +0000,47.618022,-122.344452,"(47.618022, -122.344452)",F140127210
46th Av Sw / Marine View Dr Sw,Motor Vehicle Accident,11/21/2014 10:50:00 PM +0000,47.515122,-122.391453,"(47.515122, -122.391453)",F140127350
4th Av Ne / Ne 100th St,Motor Vehicle Accident,11/21/2014 09:08:00 PM +0000,47.701333,-122.324264,"(47.701333, -122.324264)",F140127317
Sb I5 At Convention Center,Motor Vehicle Accident Freeway,11/21/2014 07:29:00 PM +0000,47.607412,-122.330402,"(47.607412, -122.330402)",F140127280
5th Av / University St,Motor Vehicle Accident,11/21/2014 07:37:00 PM +0000,47.608693,-122.333757,"(47.608693, -122.333757)",F140127283
Sw Barton St / 26th Av Sw,Motor Vehicle Accident,11/22/2014 12:23:00 AM +0000,47.521022,-122.365894,"(47.521022, -122.365894)",F140127380
Westlake Av / Denny Way,Motor Vehicle Accident,11/21/2014 08:31:00 PM +0000,47.618534,-122.338485,"(47.618534, -122.338485)",F140127303
5508 Rainier Av S,Motor Vehicle Accident,11/21/2014 09:32:00 PM +0000,47.5526,-122.278446,"(47.5526, -122.278446)",F140127321
1301 6th Av,Motor Vehicle Accident,11/22/2014 01:05:00 AM +0000,47.60916,-122.33264,"(47.60916, -122.33264)",F140127401
Nb I5 To 145,Motor Vehicle Accident Freeway,11/22/2014 12:42:00 AM +0000,47.72959,-122.324067,"(47.72959, -122.324067)",F140127386
E Helen St / 24th Av E,Motor Vehicle Accident,11/22/2014 01:09:00 AM +0000,47.628176,-122.301686,"(47.628176, -122.301686)",F140127405
Nb I5 At Mercer,Motor Vehicle Accident Freeway,11/22/2014 01:43:00 AM +0000,47.620184,-122.328213,"(47.620184, -122.328213)",F140127419
Wb Sr520 Fr Montlake,Motor Vehicle Accident Freeway,11/22/2014 02:05:00 AM +0000,47.644622,-122.304809,"(47.644622, -122.304809)",F140127428
PINEHURST WAY NE / NE 115TH ST,Motor Vehicle Accident,11/22/2014 02:26:00 AM +0000,47.712198,-122.315193,"(47.712198, -122.315193)",F140127435
MERIDIAN AV N / N 143RD ST,Motor Vehicle Accident,11/24/2014 11:54:00 PM +0000,47.732315,-122.334256,"(47.732315, -122.334256)",B140128486
1616 Taylor Av N,Motor Vehicle Accident,11/22/2014 07:38:00 AM +0000,47.63325,-122.345945,"(47.63325, -122.345945)",F140127539
7277 Perimeter Rd S,Motor Vehicle Accident,11/25/2014 05:48:00 PM +0000,47.537309,-122.302837,"(47.537309, -122.302837)",F140128732
23rd Av S / S Jackson St,Motor Vehicle Accident,11/22/2014 09:37:00 PM +0000,47.599281,-122.302233,"(47.599281, -122.302233)",F140127737
Sw Henderson St / 16th Av Sw,Motor Vehicle Accident,11/23/2014 10:14:00 AM +0000,47.52287,-122.355104,"(47.52287, -122.355104)",F140127967
Sb I5 At Tullys,Motor Vehicle Accident Freeway,11/23/2014 12:40:00 PM +0000,47.579547,-122.319262,"(47.579547, -122.319262)",F140127995
Sb I5 At Spokane,Motor Vehicle Accident Freeway,11/25/2014 04:25:00 PM +0000,47.577176,-122.319669,"(47.577176, -122.319669)",F140128707
4th Av S / S Front St,Motor Vehicle Accident,11/25/2014 06:54:00 PM +0000,47.548051,-122.329584,"(47.548051, -122.329584)",F140128751
35th Av Ne / Ne 95th St,Motor Vehicle Accident,11/22/2014 03:36:00 AM +0000,47.697459,-122.290531,"(47.697459, -122.290531)",F140127468
10017 17th Av Ne,Motor Vehicle Accident,11/23/2014 11:14:00 AM +0000,47.701297,-122.309589,"(47.701297, -122.309589)",F140127985
Sb I5 To Wb Wsea Frwy,Motor Vehicle Accident,11/23/2014 12:37:00 PM +0000,47.577176,-122.319669,"(47.577176, -122.319669)",F140127994
3rd Av / Cherry St,Motor Vehicle Accident,11/22/2014 03:26:00 AM +0000,47.603484,-122.332062,"(47.603484, -122.332062)",F140127460
Aurora Av N / Crockett St,Motor Vehicle Accident Freeway,11/22/2014 03:27:00 AM +0000,47.637464,-122.344264,"(47.637464, -122.344264)",F140127461
Ne 145th St / 1st Av Ne,Motor Vehicle Accident,11/22/2014 03:34:00 AM +0000,47.734095,-122.32888,"(47.734095, -122.32888)",F140127465
1110 E John St,Motor Vehicle Accident,11/22/2014 07:42:00 AM +0000,47.619928,-122.318101,"(47.619928, -122.318101)",F140127542
24th Av W / W Dravus St,Motor Vehicle Accident,11/22/2014 08:38:00 AM +0000,47.648492,-122.387426,"(47.648492, -122.387426)",F140127559
2nd Av / Pine St,Motor Vehicle Accident,11/22/2014 08:50:00 AM +0000,47.610278,-122.339812,"(47.610278, -122.339812)",F140127565
2100 1st Av,Motor Vehicle Accident,11/22/2014 09:11:00 AM +0000,47.611837,-122.343912,"(47.611837, -122.343912)",F140127572
S Columbian Way / S Snoqualmie St,Motor Vehicle Accident,11/24/2014 08:30:00 PM +0000,47.561653,-122.310499,"(47.561653, -122.310499)",F140128419
Terry Av / Jefferson St,Motor Vehicle Accident,11/24/2014 08:42:00 PM +0000,47.605305,-122.322989,"(47.605305, -122.322989)",F140128426
Sylvan Way Sw / Sw Morgan St,Motor Vehicle Accident,11/25/2014 12:51:00 AM +0000,47.544113,-122.371356,"(47.544113, -122.371356)",F140128511
Sw Sylvan Heights Dr / Sylvan Way Sw,Motor Vehicle Accident,11/25/2014 12:52:00 AM +0000,47.54037,-122.368841,"(47.54037, -122.368841)",F140128512
30th Av Ne / Ne 130th St,Motor Vehicle Accident,11/23/2014 01:53:00 AM +0000,47.7229,-122.296359,"(47.7229, -122.296359)",F140127822
Warren Av N / John St,Motor Vehicle Accident,11/23/2014 07:25:00 AM +0000,47.619764,-122.354138,"(47.619764, -122.354138)",F140127925
N 105th St / Aurora Av N,Motor Vehicle Accident,11/23/2014 05:55:00 PM +0000,47.705051,-122.344694,"(47.705051, -122.344694)",F140128047
1215 S Main St,Motor Vehicle Accident,11/24/2014 05:08:00 PM +0000,47.600011,-122.316504,"(47.600011, -122.316504)",F140128363
7281 Airport Way S,Motor Vehicle Accident,11/25/2014 05:48:00 PM +0000,47.537502,-122.302403,"(47.537502, -122.302403)",F140128731
Rainier Av S / S Willow St,Motor Vehicle Accident,11/26/2014 01:44:00 AM +0000,47.540694,-122.27156,"(47.540694, -122.27156)",F140128873
15th Av Ne / Ne 143rd St,Motor Vehicle Accident,11/26/2014 02:47:00 AM +0000,47.732126,-122.312724,"(47.732126, -122.312724)",F140128895
9059 4th Av S,Motor Vehicle Accident,11/26/2014 04:23:00 AM +0000,47.52234,-122.329702,"(47.52234, -122.329702)",F140128929
Nb I5 To Wb Wsea Frwy,Motor Vehicle Accident Freeway,11/23/2014 02:44:00 PM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F140128012
NB I5 AT HOLGATE,Motor Vehicle Accident Freeway,11/24/2014 03:20:00 PM +0000,47.57679,-122.319476,"(47.57679, -122.319476)",F140128338
Sb I5 Cd To Eb I90,Motor Vehicle Accident Freeway,11/25/2014 06:09:00 PM +0000,47.594564,-122.320148,"(47.594564, -122.320148)",F140128742
1st Av / University St,Motor Vehicle Accident,11/22/2014 07:59:00 PM +0000,47.606835,-122.338197,"(47.606835, -122.338197)",F140127710
